win_sec,method,subject,test_sess,accuracy
1.0,CCA,1,1,0.85
1.0,CCA,1,2,0.95
1.0,CCA,2,1,0.55
1.0,CCA,2,2,0.6
1.0,FBCCA,1,1,0.9
1.0,FBCCA,1,2,0.95
1.0,FBCCA,2,1,0.65
1.0,FBCCA,2,2,0.65
2.0,CCA,1,1,0.95
2.0,CCA,1,2,1.0
2.0,CCA,2,1,0.65
2.0,CCA,2,2,0.6
2.0,FBCCA,1,1,0.95
2.0,FBCCA,1,2,1.0
2.0,FBCCA,2,1,0.7
2.0,FBCCA,2,2,0.8
3.0,CCA,1,1,1.0
3.0,CCA,1,2,1.0
3.0,CCA,2,1,0.7
3.0,CCA,2,2,0.7
3.0,FBCCA,1,1,1.0
3.0,FBCCA,1,2,1.0
3.0,FBCCA,2,1,0.75
3.0,FBCCA,2,2,0.85
4.0,CCA,1,1,1.0
4.0,CCA,1,2,1.0
4.0,CCA,2,1,0.7
4.0,CCA,2,2,0.8
4.0,FBCCA,1,1,1.0
4.0,FBCCA,1,2,1.0
4.0,FBCCA,2,1,0.9
4.0,FBCCA,2,2,0.9
5.0,CCA,1,1,1.0
5.0,CCA,1,2,1.0
5.0,CCA,2,1,0.85
5.0,CCA,2,2,0.75
5.0,FBCCA,1,1,1.0
5.0,FBCCA,1,2,1.0
5.0,FBCCA,2,1,0.85
5.0,FBCCA,2,2,0.95
6.0,CCA,1,1,1.0
6.0,CCA,1,2,1.0
6.0,CCA,2,1,0.95
6.0,CCA,2,2,1.0
6.0,FBCCA,1,1,1.0
6.0,FBCCA,1,2,1.0
6.0,FBCCA,2,1,0.9
6.0,FBCCA,2,2,1.0
6.85,CCA,1,1,1.0
6.85,CCA,1,2,1.0
6.85,CCA,2,1,1.0
6.85,CCA,2,2,1.0
6.85,FBCCA,1,1,1.0
6.85,FBCCA,1,2,1.0
6.85,FBCCA,2,1,1.0
6.85,FBCCA,2,2,1.0
